"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.709556500E-2,1.196411345E-2,9.032905847E-2,9.519545555E0,9.519981621E0
1.960087700E-2,-1.674975827E-2,1.142572835E-1,9.596116066E0,9.596810868E0
2.210613800E-2,-4.785645287E-3,5.682953820E-2,9.653543472E0,9.653711932E0
2.461145000E-2,-4.785645287E-3,8.793623000E-2,9.785149574E0,9.785545865E0
2.711671000E-2,-9.571290575E-3,7.597211748E-2,9.821041107E0,9.821339613E0
2.962202300E-2,4.067798331E-2,5.443671346E-2,9.828220367E0,9.828455303E0
3.210061700E-2,2.153540403E-2,3.768695518E-2,9.895218849E0,9.895314050E0
3.460520000E-2,6.460621208E-2,7.597211748E-2,9.856933594E0,9.857438085E0
3.710983500E-2,5.264209956E-2,4.486542568E-2,9.794720650E0,9.794964865E0
3.961452300E-2,4.546362907E-2,6.161518395E-2,9.763613701E0,9.763913963E0
4.211915800E-2,4.785645381E-2,5.922235921E-2,9.713364601E0,9.713663027E0
4.462379400E-2,5.742774159E-2,6.161518395E-2,9.710971832E0,9.711337102E0
4.712842900E-2,2.632104978E-2,9.990034252E-2,9.703793526E0,9.704343443E0
4.963306500E-2,5.264209956E-2,6.400800496E-2,9.737292290E0,9.737644959E0
5.215931500E-2,2.392822644E-3,5.204389244E-2,9.768399239E0,9.768538170E0
5.466447100E-2,2.871387079E-2,8.315058798E-2,9.806684494E0,9.807079039E0
5.716962700E-2,2.871387079E-2,5.922235921E-2,9.801898956E0,9.802119920E0
5.967483500E-2,3.589234129E-2,4.486542568E-2,9.770792007E0,9.770960936E0
6.217999200E-2,2.392822644E-3,8.075776696E-2,9.801898956E0,9.802231924E0
6.468520000E-2,4.307080805E-2,7.597211748E-2,9.804291725E0,9.804680672E0
6.719040800E-2,-1.435693540E-2,9.511470050E-2,9.794720650E0,9.795192981E0
6.969556500E-2,-4.785645287E-3,9.990034252E-2,9.742077827E0,9.742591204E0
7.218744000E-2,-1.435693540E-2,1.070788130E-1,9.780363083E0,9.780959770E0
7.469223100E-2,5.503492057E-2,9.750752151E-2,9.816255569E0,9.816894110E0
7.719712700E-2,4.785645287E-3,1.262213886E-1,9.840184212E0,9.840994872E0
7.970197100E-2,5.024927482E-2,1.286142170E-1,9.852148056E0,9.853115646E0
8.220681500E-2,1.196411345E-2,1.310070455E-1,9.861719131E0,9.862596525E0
8.471165800E-2,6.939185411E-2,1.046859920E-1,9.883255005E0,9.884053009E0
8.721650200E-2,1.914258115E-2,1.190429255E-1,9.909575462E0,9.910308951E0
8.972134600E-2,4.785645381E-2,9.511470050E-2,9.919147491E0,9.919718948E0
9.222770000E-2,1.674975827E-2,9.750752151E-2,9.885647774E0,9.886142836E0
9.473249200E-2,8.614161611E-2,9.990034252E-2,9.842576981E0,9.843460879E0
9.723738800E-2,-2.632104978E-2,1.142572835E-1,9.833005905E0,9.833704930E0
9.974228300E-2,7.178467698E-3,1.214357466E-1,9.809077263E0,9.809831544E0
1.022471790E-1,-1.674975827E-2,1.142572835E-1,9.844969749E0,9.845646990E0
1.047520750E-1,0.000000000E0,1.214357466E-1,9.828220367E0,9.828970558E0
1.072569710E-1,9.571290575E-3,1.118644550E-1,9.842576981E0,9.843217304E0
1.097618150E-1,4.785645381E-2,9.032905847E-2,9.885647774E0,9.886176282E0
1.122915020E-1,1.674975827E-2,8.315058798E-2,9.902397156E0,9.902760423E0
1.147969190E-1,6.221338734E-2,7.357929647E-2,9.847362518E0,9.847833924E0
1.173024400E-1,4.067798331E-2,7.836493850E-2,9.878469467E0,9.878864043E0
1.198079600E-1,1.268195957E-1,1.142572835E-1,9.902397156E0,9.903868303E0
1.223134810E-1,7.896314561E-2,1.190429255E-1,9.907182693E0,9.908212519E0
1.248190020E-1,9.571290761E-2,1.046859920E-1,9.861719131E0,9.862739191E0
1.273245230E-1,4.785645381E-2,1.501496136E-1,9.837791443E0,9.839053594E0
1.298300440E-1,5.264209956E-2,9.750752151E-2,9.852148056E0,9.852771195E0
1.323406170E-1,2.871387079E-2,1.238285750E-1,9.835398674E0,9.836220061E0
1.348462420E-1,4.785645381E-2,7.597211748E-2,9.847362518E0,9.847771858E0
1.373518670E-1,4.067798331E-2,1.022931710E-1,9.847362518E0,9.847977821E0
1.398574920E-1,7.657032460E-2,8.793623000E-2,9.825826645E0,9.826518460E0
1.423631690E-1,-2.392822644E-3,1.118644550E-1,9.844969749E0,9.845605555E0
1.448687940E-1,4.307080805E-2,6.879365444E-2,9.818648338E0,9.818983799E0
1.473744190E-1,3.110669367E-2,9.032905847E-2,9.895218849E0,9.895680019E0
1.498800960E-1,3.828516230E-2,7.597211748E-2,9.856933594E0,9.857300715E0
1.523845230E-1,4.546362907E-2,1.166501045E-1,9.823433876E0,9.824231639E0
1.548900960E-1,3.349951655E-2,9.032905847E-2,9.789935112E0,9.790409136E0
1.573957210E-1,0.000000000E0,9.032905847E-2,9.837791443E0,9.838206128E0
1.599013460E-1,2.392822690E-2,5.443671346E-2,9.849755287E0,9.849934778E0
1.624069190E-1,-1.435693540E-2,7.597211748E-2,9.792327881E0,9.792633109E0
1.649125440E-1,9.571290575E-3,8.554340899E-2,9.794720650E0,9.795098871E0
1.674181690E-1,-4.307080805E-2,5.204389244E-2,9.799506187E0,9.799739036E0
1.699237420E-1,0.000000000E0,6.640082598E-2,9.792327881E0,9.792553007E0
1.724264500E-1,-3.110669367E-2,9.272187948E-2,9.770792007E0,9.771281463E0
1.749319190E-1,-4.785645287E-3,7.597211748E-2,9.775577545E0,9.775873925E0
1.774374920E-1,-3.110669367E-2,5.922235921E-2,9.691828728E0,9.692059585E0
1.799430130E-1,9.571290575E-3,5.204389244E-2,9.720542908E0,9.720686941E0
1.824485330E-1,3.349951655E-2,1.022931710E-1,9.763613701E0,9.764207014E0
1.849540540E-1,3.828516230E-2,8.793623000E-2,9.773184776E0,9.773655366E0
1.874596270E-1,2.392822644E-3,8.793623000E-2,9.787542343E0,9.787937659E0
1.899651480E-1,5.024927482E-2,7.118647546E-2,9.775577545E0,9.775965878E0
1.924416580E-1,3.110669367E-2,7.357929647E-2,9.792327881E0,9.792653719E0
1.949463980E-1,4.307080805E-2,3.529413417E-2,9.746864319E0,9.747023383E0
