"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.903299400E-2,-9.454345703E-2,-1.472473145E-2,9.742279053E0,9.742748915E0
3.403787700E-2,-9.333801270E-2,-4.106140137E-2,9.827270508E0,9.827799533E0
3.901224200E-2,-7.658386230E-2,-1.832580566E-2,9.839248657E0,9.839563764E0
4.398660800E-2,-9.931945801E-2,-2.191162109E-2,9.827270508E0,9.827796808E0
4.896097300E-2,-1.148834229E-1,6.820678711E-3,9.830871582E0,9.831545188E0
5.393533800E-2,-1.112976074E-1,-3.952026367E-3,9.853607178E0,9.854236510E0
5.890970300E-2,-7.777404785E-2,-3.627014160E-2,9.818893433E0,9.819268433E0
6.388406900E-2,-9.094238281E-2,-8.743286133E-3,9.821289062E0,9.821713996E0
6.885843400E-2,-8.735656738E-2,8.392333984E-4,9.832061768E0,9.832449872E0
7.386331700E-2,-8.975219727E-2,-1.712036133E-2,9.812911987E0,9.813337365E0
7.883768200E-2,-8.137512207E-2,-1.353454590E-2,9.827270508E0,9.827616737E0
8.384256500E-2,-9.931945801E-2,-1.832580566E-2,9.815307617E0,9.815827210E0
8.881693000E-2,-1.089019775E-1,-2.191162109E-2,9.811706543E0,9.812335351E0
9.379129500E-2,-1.053161621E-1,-8.743286133E-3,9.815307617E0,9.815876505E0
9.876566000E-2,-1.041107178E-1,-1.832580566E-2,9.809310913E0,9.809880502E0
1.037400260E-1,-1.005249023E-1,-1.832580566E-2,9.863189697E0,9.863718979E0
1.087143910E-1,-1.065063477E-1,-3.662109375E-4,9.832061768E0,9.832638625E0
1.137192740E-1,-1.268615723E-1,-1.472473145E-2,9.834457397E0,9.835286624E0
1.186936390E-1,-9.931945801E-2,-2.191162109E-2,9.815307617E0,9.815834559E0
1.236680040E-1,-1.017150879E-1,-8.743286133E-3,9.817703247E0,9.818234029E0
1.286423690E-1,-8.735656738E-2,-3.507995605E-2,9.821289062E0,9.821740203E0
1.336472520E-1,-9.693908691E-2,-2.430725098E-2,9.829666138E0,9.830174180E0
1.386216170E-1,-9.693908691E-2,-1.113891602E-2,9.826080322E0,9.826564800E0
1.436265000E-1,-9.333801270E-2,-3.268432617E-2,9.799743652E0,9.800242645E0
1.486008650E-1,-7.897949219E-2,-9.933471680E-3,9.835647583E0,9.835969693E0
1.535752310E-1,-7.298278809E-2,4.425048828E-3,9.846420288E0,9.846691757E0
1.585495960E-1,-9.931945801E-2,-7.537841797E-3,9.827270508E0,9.827775273E0
1.635239610E-1,-5.503845215E-2,-4.226684570E-2,9.821289062E0,9.821534227E0
1.684983260E-1,-1.005249023E-1,-1.712036133E-2,9.838043213E0,9.838571676E0
1.734726920E-1,-1.041107178E-1,-2.761840820E-3,9.835647583E0,9.836198963E0
1.784775740E-1,-9.573364258E-2,-1.232910156E-2,9.818893433E0,9.819367860E0
1.834519400E-1,-6.939697266E-2,-7.537841797E-3,9.806930542E0,9.807178973E0
1.884263050E-1,-1.041107178E-1,9.216308594E-3,9.845230103E0,9.845784872E0
1.934311880E-1,-1.077117920E-1,-4.466247559E-2,9.846420288E0,9.847110696E0
1.984055530E-1,-8.377075195E-2,-3.507995605E-2,9.792556763E0,9.792977897E0
2.033799180E-1,-1.112976074E-1,-7.537841797E-3,9.803329468E0,9.803964128E0
2.083542830E-1,-6.221008301E-2,-2.191162109E-2,9.810516357E0,9.810738067E0
2.133591660E-1,-8.975219727E-2,-1.232910156E-2,9.827270508E0,9.827688085E0
2.183335310E-1,-9.931945801E-2,-3.952026367E-3,9.828475952E0,9.828978559E0
2.233078970E-1,-1.101074219E-1,-9.933471680E-3,9.824874878E0,9.825496867E0
2.282822620E-1,-9.333801270E-2,-1.353454590E-2,9.814102173E0,9.814555345E0
2.332566270E-1,-7.418823242E-2,-7.537841797E-3,9.799743652E0,9.800027365E0
