"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.511674500E-2,-1.630249023E-1,-6.222534180E-2,9.780288696E0,9.781845230E0
3.012162800E-2,-1.486511230E-1,-6.701660156E-2,9.872467041E0,9.873813542E0
3.509599300E-2,-1.701965332E-1,-6.582641602E-2,9.860504150E0,9.862192559E0
4.003984000E-2,-1.869659424E-1,-7.539367676E-2,9.829376221E0,9.831443300E0
4.501420600E-2,-1.474609375E-1,-6.343078613E-2,9.891616821E0,9.892919262E0
4.998857100E-2,-1.809692383E-1,-7.539367676E-2,9.866485596E0,9.868433112E0
5.496293600E-2,-1.474609375E-1,-7.180786133E-2,9.816207886E0,9.817578029E0
5.993730100E-2,-1.558380127E-1,-7.180786133E-2,9.813812256E0,9.815312163E0
6.491166700E-2,-1.642150879E-1,-6.222534180E-2,9.853317261E0,9.854882020E0
6.988603200E-2,-1.546325684E-1,-5.026245117E-2,9.865280151E0,9.866619989E0
7.486039700E-2,-1.654052734E-1,-4.786682129E-2,9.835357666E0,9.836864874E0
7.983476200E-2,-1.833648682E-1,-4.905700684E-2,9.825775146E0,9.827608381E0
8.480912800E-2,-1.498565674E-1,-7.180786133E-2,9.860504150E0,9.861904251E0
8.978349300E-2,-1.546325684E-1,-4.428100586E-2,9.876068115E0,9.877377863E0
9.475785800E-2,-1.378784180E-1,-4.547119141E-2,9.859298706E0,9.860367593E0
9.973222300E-2,-1.690063477E-1,-6.822204590E-2,9.826980591E0,9.828670557E0
1.047065880E-1,-1.570281982E-1,-7.299804688E-2,9.841339111E0,9.842862494E0
1.096504360E-1,-1.450653076E-1,-8.018493652E-2,9.859298706E0,9.860691890E0
1.146553190E-1,-1.666107178E-1,-8.258056641E-2,9.871276855E0,9.873028180E0
1.196296840E-1,-1.630249023E-1,-5.505371094E-2,9.876068115E0,9.877566980E0
1.246040490E-1,-1.714019775E-1,-5.744934082E-2,9.836563110E0,9.838224072E0
1.295784150E-1,-1.714019775E-1,-5.982971191E-2,9.861694336E0,9.863365217E0
1.345527800E-1,-1.378784180E-1,-9.095764160E-2,9.838943481E0,9.840329902E0
1.394966280E-1,-1.594238281E-1,-8.616638184E-2,9.826980591E0,9.828651389E0
1.444709930E-1,-1.761932373E-1,-7.061767578E-2,9.842544556E0,9.844374751E0
1.494758760E-1,-1.725921631E-1,-6.103515625E-2,9.832962036E0,9.834666021E0
1.544502410E-1,-1.582336426E-1,-6.343078613E-2,9.831771851E0,9.833249670E0
1.593940880E-1,-1.498565674E-1,-9.335327148E-2,9.871276855E0,9.872855645E0
1.643684540E-1,-1.570281982E-1,-7.420349121E-2,9.867675781E0,9.869204088E0
1.693733370E-1,-1.773834229E-1,-5.384826660E-2,9.837753296E0,9.839499704E0
1.743477020E-1,-1.821746826E-1,-7.659912109E-2,9.842544556E0,9.844528347E0
1.792915490E-1,-1.833648682E-1,-7.420349121E-2,9.855712891E0,9.857697775E0
1.842659150E-1,-1.797790527E-1,-8.139038086E-2,9.853317261E0,9.855293296E0
1.892402800E-1,-1.594238281E-1,-5.505371094E-2,9.847335815E0,9.848780104E0
1.942146450E-1,-1.606292725E-1,-5.624389648E-2,9.830566406E0,9.832039514E0
1.991890100E-1,-1.558380127E-1,-8.378601074E-2,9.860504150E0,9.862091446E0
2.041633760E-1,-1.737976074E-1,-7.659912109E-2,9.828170776E0,9.830005791E0
2.091377410E-1,-1.737976074E-1,-7.061767578E-2,9.848526001E0,9.850312526E0
2.141121060E-1,-1.594238281E-1,-5.145263672E-2,9.852111816E0,9.853535943E0
2.190864710E-1,-1.737976074E-1,-8.139038086E-2,9.850921631E0,9.852790822E0
2.240608370E-1,-1.797790527E-1,-6.343078613E-2,9.830566406E0,9.832414751E0
2.290352020E-1,-1.642150879E-1,-5.863952637E-2,9.820999146E0,9.822546992E0
2.340095670E-1,-1.678009033E-1,-7.420349121E-2,9.852111816E0,9.853820099E0
2.389839320E-1,-1.714019775E-1,-6.582641602E-2,9.849731445E0,9.851442600E0
2.439582970E-1,-1.558380127E-1,-7.659912109E-2,9.846130371E0,9.847661458E0
2.489326630E-1,-1.486511230E-1,-6.822204590E-2,9.866485596E0,9.867841173E0
2.539070280E-1,-1.725921631E-1,-7.659912109E-2,9.853317261E0,9.855126408E0
2.588813930E-1,-1.582336426E-1,-5.744934082E-2,9.846130371E0,9.847569324E0
2.638557580E-1,-1.426696777E-1,-6.222534180E-2,9.840148926E0,9.841379858E0
2.688301240E-1,-1.929473877E-1,-5.982971191E-2,9.850921631E0,9.852992706E0
2.738044890E-1,-1.977386475E-1,-6.941223145E-2,9.884445190E0,9.886666544E0
2.787788540E-1,-1.833648682E-1,-6.462097168E-2,9.842544556E0,9.844464530E0
2.837532190E-1,-1.737976074E-1,-8.378601074E-2,9.816207886E0,9.818103837E0
2.886970670E-1,-1.558380127E-1,-6.343078613E-2,9.831771851E0,9.833211412E0
2.936714320E-1,-1.630249023E-1,-6.222534180E-2,9.841339111E0,9.842885990E0
2.986457970E-1,-1.953430176E-1,-4.786682129E-2,9.835357666E0,9.837413814E0
3.036201630E-1,-1.690063477E-1,-6.343078613E-2,9.853317261E0,9.854970708E0
3.086250460E-1,-1.498565674E-1,-7.659912109E-2,9.841339111E0,9.842778059E0
3.135994110E-1,-1.833648682E-1,-9.814453125E-2,9.859298706E0,9.861492078E0
3.185432580E-1,-1.690063477E-1,-4.905700684E-2,9.838943481E0,9.840517190E0
3.235481410E-1,-1.965332031E-1,-6.701660156E-2,9.847335815E0,9.849524820E0
3.284919890E-1,-1.929473877E-1,-7.299804688E-2,9.866485596E0,9.868642025E0
3.334663540E-1,-1.642150879E-1,-7.061767578E-2,9.856903076E0,9.858523810E0
3.384407190E-1,-1.725921631E-1,-5.145263672E-2,9.840148926E0,9.841796905E0
3.434150850E-1,-1.594238281E-1,-6.103515625E-2,9.859298706E0,9.860776451E0
3.483894500E-1,-1.809692383E-1,-6.222534180E-2,9.831771851E0,9.833634098E0
3.533943330E-1,-1.821746826E-1,-3.948974609E-2,9.824584961E0,9.826353174E0
3.583381800E-1,-1.749877930E-1,-7.420349121E-2,9.846130371E0,9.847964773E0
3.633125460E-1,-1.797790527E-1,-5.863952637E-2,9.867675781E0,9.869487546E0
3.682869110E-1,-1.749877930E-1,-3.948974609E-2,9.824584961E0,9.826222561E0
3.732612760E-1,-1.666107178E-1,-4.905700684E-2,9.840148926E0,9.841681594E0
3.782356410E-1,-1.714019775E-1,-6.941223145E-2,9.831771851E0,9.833510788E0
3.832100060E-1,-1.570281982E-1,-6.222534180E-2,9.854507446E0,9.855954893E0
3.881843720E-1,-1.905517578E-1,-4.428100586E-2,9.834167480E0,9.836113095E0
3.931587370E-1,-1.749877930E-1,-7.061767578E-2,9.829376221E0,9.831187338E0
3.981331020E-1,-1.450653076E-1,-7.061767578E-2,9.840148926E0,9.841471520E0
4.031074670E-1,-1.498565674E-1,-1.194763184E-2,9.836563110E0,9.837711805E0
4.080818330E-1,-1.630249023E-1,-4.905700684E-2,9.837753296E0,9.839226271E0
4.130561980E-1,-1.594238281E-1,-7.420349121E-2,9.868881226E0,9.870447749E0
4.180305630E-1,-1.486511230E-1,-5.384826660E-2,9.859298706E0,9.860566301E0
4.229744110E-1,-1.618194580E-1,-9.216308594E-2,9.825775146E0,9.827539712E0
4.279487760E-1,-1.749877930E-1,-6.941223145E-2,9.853317261E0,9.855115414E0
4.329536590E-1,-1.701965332E-1,-6.343078613E-2,9.884445190E0,9.886113850E0
4.379280240E-1,-1.809692383E-1,-7.899475098E-2,9.855712891E0,9.857690735E0
4.429023890E-1,-1.725921631E-1,-9.455871582E-2,9.822189331E0,9.824160659E0
4.478767540E-1,-1.785736084E-1,-6.343078613E-2,9.852111816E0,9.853934201E0
4.528511200E-1,-1.737976074E-1,-5.026245117E-2,9.862899780E0,9.864558986E0
4.577949670E-1,-1.737976074E-1,-4.666137695E-2,9.823394775E0,9.825042891E0
4.627998500E-1,-1.666107178E-1,-6.582641602E-2,9.856903076E0,9.858530849E0
4.677436980E-1,-1.654052734E-1,-7.420349121E-2,9.850921631E0,9.852589611E0
4.727485810E-1,-1.761932373E-1,-5.624389648E-2,9.838943481E0,9.840681697E0
4.776924280E-1,-1.618194580E-1,-7.180786133E-2,9.858108521E0,9.859698043E0
4.826667940E-1,-1.833648682E-1,-6.343078613E-2,9.876068115E0,9.877973859E0
4.876716760E-1,-1.953430176E-1,-5.982971191E-2,9.874862671E0,9.876975815E0
4.926460420E-1,-1.618194580E-1,-5.026245117E-2,9.819793701E0,9.821255530E0
4.975898890E-1,-1.582336426E-1,-5.744934082E-2,9.860504150E0,9.861941006E0
5.025642540E-1,-1.821746826E-1,-4.428100586E-2,9.864089966E0,9.865871440E0
5.075691370E-1,-1.690063477E-1,-6.462097168E-2,9.823394775E0,9.825061014E0
5.125435030E-1,-1.666107178E-1,-7.659912109E-2,9.886840820E0,9.888541245E0
5.174873500E-1,-1.953430176E-1,-6.701660156E-2,9.840148926E0,9.842315835E0
5.224617150E-1,-1.690063477E-1,-5.744934082E-2,9.831771851E0,9.833392156E0
5.274665980E-1,-1.522369385E-1,-7.420349121E-2,9.841339111E0,9.842796236E0
5.324409630E-1,-1.522369385E-1,-7.420349121E-2,9.868881226E0,9.870334285E0
5.373848110E-1,-1.749877930E-1,-6.701660156E-2,9.862899780E0,9.864679621E0
5.423591760E-1,-1.761932373E-1,-5.863952637E-2,9.850921631E0,9.852671700E0
5.473335420E-1,-1.522369385E-1,-5.744934082E-2,9.848526001E0,9.849870096E0
5.523079070E-1,-1.857604980E-1,-7.180786133E-2,9.884445190E0,9.886451338E0
5.572822720E-1,-1.570281982E-1,-5.982971191E-2,9.890426636E0,9.891854047E0
5.622566370E-1,-1.714019775E-1,-7.539367676E-2,9.830566406E0,9.832349603E0
5.672310030E-1,-1.666107178E-1,-7.899475098E-2,9.812606812E0,9.814339088E0
5.722053680E-1,-1.773834229E-1,-5.026245117E-2,9.835357666E0,9.837085524E0
5.771797330E-1,-1.977386475E-1,-7.180786133E-2,9.830566406E0,9.832817135E0
5.821540980E-1,-1.606292725E-1,-8.497619629E-2,9.832962036E0,9.834641077E0
5.871284630E-1,-1.690063477E-1,-9.095764160E-2,9.849731445E0,9.851601189E0
5.921028290E-1,-1.821746826E-1,-4.786682129E-2,9.824584961E0,9.826390411E0
5.970771940E-1,-2.085113525E-1,-7.659912109E-2,9.856903076E0,9.859405797E0
6.020515590E-1,-1.486511230E-1,-7.539367676E-2,9.855712891E0,9.857122194E0
6.069954070E-1,-1.714019775E-1,-5.982971191E-2,9.865280151E0,9.866950425E0
6.120002900E-1,-1.797790527E-1,-6.462097168E-2,9.840148926E0,9.842003214E0
6.169746550E-1,-1.510467529E-1,-7.299804688E-2,9.846130371E0,9.847559450E0
6.219490200E-1,-1.714019775E-1,-5.505371094E-2,9.880844116E0,9.882483999E0
6.268928680E-1,-1.630249023E-1,-8.616638184E-2,9.854507446E0,9.856232484E0
6.318672330E-1,-1.725921631E-1,-3.469848633E-2,9.854507446E0,9.856079801E0
6.368415980E-1,-1.438598633E-1,-6.343078613E-2,9.860504150E0,9.861757512E0
6.418159630E-1,-1.630249023E-1,-7.420349121E-2,9.858108521E0,9.859735639E0
6.468208460E-1,-1.462554932E-1,-5.744934082E-2,9.841339111E0,9.842593490E0
6.517952120E-1,-1.630249023E-1,-5.982971191E-2,9.866485596E0,9.868013717E0
6.567390590E-1,-1.630249023E-1,-5.624389648E-2,9.876068115E0,9.877573685E0
6.617134240E-1,-1.558380127E-1,-3.350830078E-2,9.835357666E0,9.836649262E0
6.666877900E-1,-1.534423828E-1,-7.299804688E-2,9.842544556E0,9.844011205E0
6.716621550E-1,-1.666107178E-1,-5.863952637E-2,9.831771851E0,9.833358300E0
6.766060030E-1,-1.438598633E-1,-5.982971191E-2,9.852111816E0,9.853343722E0
6.816108850E-1,-1.570281982E-1,-8.258056641E-2,9.855712891E0,9.857309673E0
6.865547330E-1,-1.701965332E-1,-8.018493652E-2,9.841339111E0,9.843137304E0
6.915596160E-1,-1.558380127E-1,-4.905700684E-2,9.864089966E0,9.865442865E0
6.965339810E-1,-1.749877930E-1,-4.666137695E-2,9.838943481E0,9.840610085E0
7.015083460E-1,-1.666107178E-1,-7.180786133E-2,9.860504150E0,9.862173067E0
7.064827120E-1,-1.654052734E-1,-7.061767578E-2,9.836563110E0,9.838207133E0
7.114570770E-1,-1.594238281E-1,-6.822204590E-2,9.825775146E0,9.827305197E0
7.164314420E-1,-1.642150879E-1,-5.384826660E-2,9.834167480E0,9.835685856E0
7.213752900E-1,-1.426696777E-1,-6.343078613E-2,9.828170776E0,9.829410914E0
7.263801720E-1,-1.474609375E-1,-6.103515625E-2,9.849731445E0,9.851024290E0
7.313545380E-1,-1.690063477E-1,-8.737182617E-2,9.846130371E0,9.847968332E0
7.363289030E-1,-1.522369385E-1,-7.778930664E-2,9.828170776E0,9.829657576E0
7.412727510E-1,-1.414642334E-1,-1.041259766E-1,9.856903076E0,9.858468066E0
7.462776330E-1,-1.821746826E-1,-8.139038086E-2,9.818603516E0,9.820630683E0
7.512519990E-1,-1.773834229E-1,-5.624389648E-2,9.829376221E0,9.831137530E0
7.562263640E-1,-1.630249023E-1,-5.145263672E-2,9.835357666E0,9.836843239E0
7.612007290E-1,-1.869659424E-1,-7.899475098E-2,9.862899780E0,9.864988014E0
7.661445770E-1,-1.654052734E-1,-5.744934082E-2,9.830566406E0,9.832125670E0
7.711494600E-1,-1.690063477E-1,-7.539367676E-2,9.873672485E0,9.875406609E0
7.761238250E-1,-1.642150879E-1,-7.420349121E-2,9.861694336E0,9.863340607E0
7.810676720E-1,-1.582336426E-1,-5.863952637E-2,9.828170776E0,9.829619387E0
7.860420380E-1,-1.666107178E-1,-7.659912109E-2,9.846130371E0,9.847837826E0
7.910164030E-1,-1.749877930E-1,-6.462097168E-2,9.865280151E0,9.867043583E0
7.959907680E-1,-1.917419434E-1,-6.701660156E-2,9.832962036E0,9.835059664E0
8.009651330E-1,-1.642150879E-1,-7.899475098E-2,9.872467041E0,9.874148684E0
8.059394990E-1,-1.582336426E-1,-7.778930664E-2,9.862899780E0,9.864475715E0
8.109138640E-1,-1.462554932E-1,-5.982971191E-2,9.822189331E0,9.823460364E0
8.158882290E-1,-1.522369385E-1,-8.258056641E-2,9.866485596E0,9.868005556E0
8.208625940E-1,-1.606292725E-1,-3.828430176E-2,9.864089966E0,9.865472026E0
8.258369600E-1,-1.917419434E-1,-9.574890137E-2,9.844940186E0,9.847272723E0
8.308113250E-1,-1.690063477E-1,-7.899475098E-2,9.894012451E0,9.895771102E0
8.357551720E-1,-1.606292725E-1,-7.299804688E-2,9.880844116E0,9.882419285E0
8.407600550E-1,-1.737976074E-1,-7.299804688E-2,9.864089966E0,9.865890998E0
8.457344210E-1,-1.618194580E-1,-5.744934082E-2,9.865280151E0,9.866774469E0
8.507087860E-1,-1.558380127E-1,-8.258056641E-2,9.853317261E0,9.854895539E0
8.556831510E-1,-1.522369385E-1,-7.778930664E-2,9.858108521E0,9.859590806E0
8.606269990E-1,-1.690063477E-1,-6.822204590E-2,9.874862671E0,9.876544444E0
8.656318810E-1,-2.061157227E-1,-5.384826660E-2,9.868881226E0,9.871180272E0
8.706062470E-1,-1.833648682E-1,-5.982971191E-2,9.860504150E0,9.862390398E0
8.755806120E-1,-1.761932373E-1,-5.624389648E-2,9.856903076E0,9.858638125E0
