"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.702609800E-2,2.084102482E-2,6.483361125E-1,9.823179245E0,9.844573355E0
3.953729600E-2,-1.923565567E-1,4.998164773E-1,1.034299660E1,1.035685262E1
4.204849400E-2,-2.785937786E-1,5.285622478E-1,1.089156151E1,1.090793769E1
4.455964000E-2,-1.468424797E-1,5.549125075E-1,1.093228531E1,1.094734455E1
4.707083700E-2,3.042294085E-2,5.381441116E-1,1.080532455E1,1.081875979E1
4.958198300E-2,1.765471250E-1,4.423249960E-1,1.034778786E1,1.035874190E1
5.209318100E-2,1.957109571E-1,4.135792851E-1,1.005074883E1,1.006115811E1
5.460437900E-2,2.603888810E-1,4.998164773E-1,9.535720825E0,9.552360469E0
5.711552500E-2,3.082984686E-1,6.315678358E-1,8.898524284E0,8.926234386E0
5.962672300E-2,3.657899499E-1,6.219858527E-1,8.151134491E0,8.183010582E0
6.213792100E-2,4.783774316E-1,5.309576988E-1,8.213417053E0,8.244451512E0
6.464906700E-2,5.837785006E-1,4.135792851E-1,8.879360199E0,8.908135759E0
6.716875400E-2,5.646146536E-1,3.465058804E-1,9.425528526E0,9.448780029E0
6.967995200E-2,5.765920877E-1,3.129691482E-1,9.727358818E0,9.749457303E0
7.219115000E-2,5.909649134E-1,3.249465823E-1,9.787245750E0,9.810454077E0
7.470234800E-2,5.909649134E-1,3.536922932E-1,9.638727188E0,9.663301691E0
7.721349400E-2,4.735864699E-1,3.656696677E-1,9.502184868E0,9.521003924E0
7.972469200E-2,4.616090655E-1,3.704606295E-1,9.456669807E0,9.475174291E0
8.223583700E-2,4.160949886E-1,4.016019106E-1,9.399178505E0,9.416951508E0
8.474703500E-2,4.711909890E-1,4.399294853E-1,9.346477509E0,9.368681909E0
8.725823300E-2,5.023322105E-1,4.279521108E-1,9.145257950E0,9.169036134E0
8.976943100E-2,4.951457679E-1,3.848335147E-1,9.068602562E0,9.090259545E0
9.228057700E-2,5.143095851E-1,3.177601099E-1,9.178794861E0,9.198682565E0
9.479177500E-2,5.047277212E-1,4.159747362E-1,9.497393608E0,9.519888151E0
9.730385800E-2,3.873492479E-1,4.039973021E-1,9.784851074E0,9.800845056E0
9.981505600E-2,2.388295829E-1,4.423249960E-1,9.866296768E0,9.879094234E0
1.023262540E-1,4.719129205E-2,5.237712860E-1,9.921393394E0,9.935321347E0
1.048374000E-1,3.281841427E-2,5.549125075E-1,9.959720612E0,9.975221281E0
1.073485980E-1,1.365458965E-2,5.716808438E-1,9.904624939E0,9.921118920E0
1.098597960E-1,4.240033031E-2,5.573079586E-1,9.969303131E0,9.984958431E0
1.123709420E-1,-3.904594481E-2,6.100084782E-1,1.020166397E1,1.021996001E1
1.148821400E-1,-1.180967093E-1,5.573079586E-1,1.034060192E1,1.035628249E1
1.173933370E-1,-1.444469988E-1,5.477260947E-1,1.056338120E1,1.057855808E1
1.199044830E-1,-1.684017777E-1,5.644943714E-1,1.073585606E1,1.075200532E1
1.224156810E-1,-2.091249228E-1,5.501214862E-1,1.082209301E1,1.083808396E1
1.249268790E-1,-1.875655949E-1,5.525169969E-1,1.077178764E1,1.078757920E1
1.274249000E-1,-2.785937786E-1,5.860536695E-1,1.062087250E1,1.064067695E1
1.299360980E-1,-2.857802212E-1,5.980311036E-1,1.044360828E1,1.046461970E1
1.324472960E-1,-2.163113356E-1,6.076130271E-1,1.039330292E1,1.041329581E1
1.349584420E-1,-1.755882204E-1,5.908446908E-1,1.037893009E1,1.039721686E1
1.374696400E-1,-1.660062969E-1,5.836582780E-1,1.034539318E1,1.036317399E1
1.399808370E-1,-1.755882204E-1,6.004265547E-1,1.030467033E1,1.032364151E1
1.424919830E-1,-1.492379308E-1,5.716808438E-1,1.042683887E1,1.044356548E1
1.450031810E-1,-1.109102815E-1,5.429351330E-1,1.043881702E1,1.045351522E1
1.475143790E-1,-1.180967093E-1,5.453305840E-1,1.040288353E1,1.041783653E1
1.500255250E-1,-5.102333426E-2,5.429351330E-1,1.035018349E1,1.036453955E1
1.525367230E-1,-3.665046394E-2,5.357487202E-1,1.016573238E1,1.017990593E1
1.550479210E-1,-3.425496817E-2,5.764718056E-1,1.014656830E1,1.016298880E1
1.575562020E-1,3.760937601E-2,5.093984008E-1,1.003637600E1,1.004936537E1
1.600674000E-1,4.958676547E-2,5.117939115E-1,9.974094391E0,9.987339524E0
1.625785980E-1,9.749633819E-2,5.141893625E-1,9.942953110E0,9.956716968E0
1.650897440E-1,1.765471250E-1,5.022119284E-1,9.854319572E0,9.868687853E0
1.676009420E-1,1.669652164E-1,5.093984008E-1,9.856715202E0,9.871281512E0
1.701121400E-1,1.837335676E-1,4.519069195E-1,9.715381622E0,9.727621392E0
1.726232850E-1,2.340386212E-1,4.878390431E-1,9.588421822E0,9.603676069E0
1.751344830E-1,3.250668049E-1,4.974210262E-1,9.483020782E0,9.501619823E0
1.776456810E-1,3.801628053E-1,4.806526303E-1,9.391992569E0,9.411964467E0
1.801568270E-1,3.729763627E-1,4.806526303E-1,9.372828484E0,9.392553013E0
1.826680250E-1,3.562080264E-1,4.519069195E-1,9.425528526E0,9.443076407E0
1.851792230E-1,3.394396603E-1,4.063928127E-1,9.578840256E0,9.593464184E0
1.876898480E-1,3.705808818E-1,4.183701873E-1,9.636330605E0,9.652524609E0
1.902010460E-1,3.729763627E-1,4.255566597E-1,9.643517494E0,9.660105564E0
1.927122440E-1,3.250668049E-1,4.614888430E-1,9.638727188E0,9.655242213E0
1.952233900E-1,3.154848814E-1,4.734662175E-1,9.619563103E0,9.636373553E0
1.977345870E-1,3.514170647E-1,4.710707664E-1,9.593213081E0,9.611198616E0
2.002457850E-1,2.675753236E-1,4.902345538E-1,9.619563103E0,9.635762594E0
2.027569310E-1,2.532024384E-1,4.950255156E-1,9.657891273E0,9.673883687E0
2.052681290E-1,2.484114766E-1,4.782571793E-1,9.720172882E0,9.735101389E0
2.077793270E-1,1.813380867E-1,5.117939115E-1,9.732150078E0,9.747284835E0
2.102904730E-1,1.430104375E-1,5.189803243E-1,9.832760811E0,9.847485858E0
2.128016710E-1,1.597787738E-1,5.285622478E-1,9.907019615E0,9.922396130E0
2.153128690E-1,1.142646894E-1,5.165848136E-1,9.928580284E0,9.942666782E0
