"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.331056100E-2,-1.268926859E-1,-2.729389966E-1,9.747094154E0,9.751740455E0
2.528656100E-2,-1.221042871E-1,-2.753331959E-1,9.713575363E0,9.718243883E0
2.728656100E-2,-1.149216816E-1,-2.657563984E-1,9.715970039E0,9.720283291E0
2.928656100E-2,-1.077390760E-1,-2.561795712E-1,9.742305756E0,9.746268882E0
3.128656100E-2,-1.077390760E-1,-2.609679997E-1,9.787796021E0,9.791867184E0
3.328656100E-2,-1.005564705E-1,-2.585737705E-1,9.773430824E0,9.777367850E0
3.528906100E-2,-1.005564705E-1,-2.561795712E-1,9.744700432E0,9.748585850E0
3.729120300E-2,-1.005564705E-1,-2.537853718E-1,9.737517357E0,9.741342972E0
3.929307800E-2,-1.077390760E-1,-2.609679997E-1,9.754277229E0,9.758362377E0
4.129474400E-2,-1.101332754E-1,-2.585737705E-1,9.780612946E0,9.784650189E0
4.329624400E-2,-1.077390760E-1,-2.609679997E-1,9.754277229E0,9.758362377E0
4.529506200E-2,-1.077390760E-1,-2.609679997E-1,9.754277229E0,9.758362377E0
4.729631200E-2,-1.005564705E-1,-2.681505978E-1,9.744700432E0,9.748907777E0
4.929746500E-2,-1.029506698E-1,-2.633621991E-1,9.761459351E0,9.765554113E0
5.129853600E-2,-9.097966552E-2,-2.322375625E-1,9.773430824E0,9.776612995E0
5.329953600E-2,-9.337386489E-2,-2.370259613E-1,9.771036148E0,9.774356623E0
5.530047300E-2,-1.053448766E-1,-2.609679997E-1,9.756670952E0,9.760728964E0
5.730135500E-2,-1.053448766E-1,-2.681505978E-1,9.749488831E0,9.753744652E0
5.930218800E-2,-1.029506698E-1,-2.753331959E-1,9.761459351E0,9.765884285E0
6.130297700E-2,-1.077390760E-1,-2.657563984E-1,9.771036148E0,9.775243300E0
6.330372700E-2,-8.619125932E-2,-2.561795712E-1,9.756670952E0,9.760414180E0
6.530315500E-2,-8.619125932E-2,-2.561795712E-1,9.756670952E0,9.760414180E0
6.730374500E-2,-9.337386489E-2,-2.466027737E-1,9.768642426E0,9.772200696E0
6.930431000E-2,-8.858546615E-2,-2.537853718E-1,9.771036148E0,9.774732825E0
7.130485100E-2,-7.661445439E-2,-2.513911724E-1,9.771036148E0,9.774569796E0
7.330537100E-2,-1.029506698E-1,-2.537853718E-1,9.766247749E0,9.770087050E0
7.530587100E-2,-1.053448766E-1,-2.561795712E-1,9.761459351E0,9.765388583E0
7.730635200E-2,-9.576806426E-2,-2.489969730E-1,9.759065628E0,9.762711352E0
7.930681600E-2,-9.337386489E-2,-2.561795712E-1,9.773430824E0,9.777233593E0
8.130719500E-2,-8.858546615E-2,-2.561795712E-1,9.780612946E0,9.784368398E0
8.330756100E-2,-9.337386489E-2,-2.633621991E-1,9.768642426E0,9.772637984E0
8.530779400E-2,-9.337386489E-2,-2.633621991E-1,9.768642426E0,9.772637984E0
8.730816000E-2,-9.816227108E-2,-2.633621991E-1,9.761459351E0,9.765504807E0
8.930852600E-2,-1.053448766E-1,-2.513911724E-1,9.766247749E0,9.770050674E0
9.130889200E-2,-1.005564705E-1,-2.537853718E-1,9.768642426E0,9.772455856E0
9.330925800E-2,-8.379705995E-2,-2.609679997E-1,9.766247749E0,9.770093211E0
9.530912400E-2,-9.337386489E-2,-2.777273953E-1,9.756670952E0,9.761069575E0
9.730892400E-2,-9.337386489E-2,-2.657563984E-1,9.751882553E0,9.755949901E0
9.930872400E-2,-9.097966552E-2,-2.561795712E-1,9.747094154E0,9.750884561E0
1.013085240E-1,-9.576806426E-2,-2.537853718E-1,9.751882553E0,9.755654354E0
1.033083240E-1,-1.101332754E-1,-2.513911724E-1,9.761459351E0,9.765316969E0
1.053081240E-1,-1.101332754E-1,-2.513911724E-1,9.761459351E0,9.765316969E0
1.073079240E-1,-9.576806426E-2,-2.442085743E-1,9.754277229E0,9.757803729E0
1.093077240E-1,-9.337386489E-2,-2.609679997E-1,9.754277229E0,9.758214347E0
1.113075240E-1,-9.576806426E-2,-2.561795712E-1,9.759065628E0,9.762897184E0
1.133072570E-1,-9.816227108E-2,-2.609679997E-1,9.759065628E0,9.763047785E0
1.153069900E-1,-1.005564705E-1,-2.585737705E-1,9.751882553E0,9.755828275E0
1.173067230E-1,-1.053448766E-1,-2.609679997E-1,9.751882553E0,9.755942557E0
1.193064560E-1,-9.816227108E-2,-2.609679997E-1,9.761459351E0,9.765440532E0
1.213061890E-1,-9.576806426E-2,-2.633621991E-1,9.751882553E0,9.755908184E0
1.233059220E-1,-9.337386489E-2,-2.609679997E-1,9.763854027E0,9.767787284E0
1.253056220E-1,-9.337386489E-2,-2.609679997E-1,9.763854027E0,9.767787284E0
1.273053550E-1,-1.029506698E-1,-2.489969730E-1,9.759065628E0,9.762784452E0
1.293050880E-1,-1.029506698E-1,-2.561795712E-1,9.756670952E0,9.760576565E0
1.313048210E-1,-9.816227108E-2,-2.609679997E-1,9.749488831E0,9.753474898E0
1.333045540E-1,-1.005564705E-1,-2.609679997E-1,9.747094154E0,9.751105597E0
1.353042870E-1,-1.077390760E-1,-2.633621991E-1,9.754277229E0,9.758426698E0
1.373040200E-1,-1.173158810E-1,-2.585737705E-1,9.747094154E0,9.751229044E0
1.393037530E-1,-1.029506698E-1,-2.561795712E-1,9.759065628E0,9.762970283E0
1.413035530E-1,-1.005564705E-1,-2.609679997E-1,9.761459351E0,9.765464892E0
1.433032860E-1,-8.140286058E-2,-2.609679997E-1,9.771036148E0,9.774859494E0
1.453031190E-1,-8.140286058E-2,-2.609679997E-1,9.771036148E0,9.774859494E0
1.473028520E-1,-7.900865376E-2,-2.561795712E-1,9.771036148E0,9.774713180E0
1.493025850E-1,-1.125274822E-1,-2.633621991E-1,9.763854027E0,9.768053416E0
1.513023180E-1,-1.077390760E-1,-2.609679997E-1,9.756670952E0,9.760755097E0
1.533020510E-1,-1.101332754E-1,-2.609679997E-1,9.759065628E0,9.763175486E0
1.553017840E-1,-9.816227108E-2,-2.466027737E-1,9.751882553E0,9.755493944E0
1.573015840E-1,-1.029506698E-1,-2.513911724E-1,9.754277229E0,9.758059265E0
1.593013170E-1,-1.149216816E-1,-2.466027737E-1,9.761459351E0,9.765250052E0
1.613010500E-1,-1.125274822E-1,-2.561795712E-1,9.766247749E0,9.770255140E0
1.633007830E-1,-9.576806426E-2,-2.466027737E-1,9.759065628E0,9.762650582E0
1.653005160E-1,-1.029506698E-1,-2.466027737E-1,9.759065628E0,9.762723683E0
1.673002490E-1,-1.125274822E-1,-2.729389966E-1,9.759065628E0,9.763530103E0
1.692999820E-1,-1.125274822E-1,-2.633621991E-1,9.761459351E0,9.765659770E0
1.712997150E-1,-1.053448766E-1,-2.513911724E-1,9.751882553E0,9.755691077E0
1.732995150E-1,-1.125274822E-1,-2.513911724E-1,9.756670952E0,9.760557772E0
1.752992480E-1,-1.149216816E-1,-2.609679997E-1,9.759065628E0,9.763230675E0
1.772989810E-1,-9.816227108E-2,-2.561795712E-1,9.751882553E0,9.755740727E0
1.792987140E-1,-8.619125932E-2,-2.609679997E-1,9.771036148E0,9.774900544E0
1.812984470E-1,-9.576806426E-2,-2.561795712E-1,9.759065628E0,9.762897184E0
1.832981800E-1,-8.619125932E-2,-2.561795712E-1,9.780612946E0,9.784347014E0
1.852980130E-1,-8.619125932E-2,-2.561795712E-1,9.780612946E0,9.784347014E0
1.872978130E-1,-8.858546615E-2,-2.585737705E-1,9.766247749E0,9.770071795E0
1.892976130E-1,-1.101332754E-1,-2.705447972E-1,9.754277229E0,9.758649911E0
1.912973790E-1,-1.125274822E-1,-2.585737705E-1,9.751882553E0,9.755959008E0
1.932971450E-1,-1.292868853E-1,-2.561795712E-1,9.756670952E0,9.760889874E0
1.952969110E-1,-1.173158810E-1,-2.585737705E-1,9.768642426E0,9.772768198E0
1.972966770E-1,-1.029506698E-1,-2.513911724E-1,9.751882553E0,9.755665518E0
1.992964430E-1,-9.097966552E-2,-2.657563984E-1,9.756670952E0,9.760713694E0
2.012962090E-1,-8.619125932E-2,-2.561795712E-1,9.768642426E0,9.772381068E0
2.032960420E-1,-1.029506698E-1,-2.681505978E-1,9.768642426E0,9.772864392E0
