"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
0.000000000E0	1.356730461E0	2.307877541E0	1.000319481E1	1.035523649E1
0.000000000E0	1.372283816E0	2.289931297E0	9.827322960E0	1.018347803E1
0.000000000E0	1.441675663E0	2.394019127E0	9.783055305E0	1.017437602E1
0.000000000E0	1.435693622E0	2.303091764E0	9.769894600E0	1.013983670E1
0.000000000E0	1.343569875E0	2.171486616E0	9.571290970E0	9.906066069E0
0.000000000E0	1.167697430E0	2.103291035E0	9.424132347E0	9.726336461E0
0.000000000E0	1.281356573E0	2.251646042E0	9.507881165E0	9.854521237E0
0.000000000E0	1.213161111E0	2.376072884E0	9.351150513E0	9.724273656E0
0.000000000E0	1.277767301E0	2.282752752E0	9.147761345E0	9.514472504E0
0.000000000E0	1.330409408E0	2.377269268E0	9.238688469E0	9.631965687E0
0.000000000E0	1.217946768E0	2.843869686E0	9.451649666E0	9.945082731E0
0.000000000E0	8.673982024E-1	2.841476917E0	9.198010445E0	9.665907451E0
0.000000000E0	7.896314859E-1	2.518445730E0	9.093922615E0	9.469187679E0
0.000000000E0	5.467599630E-1	2.288734913E0	9.058030128E0	9.358694555E0
0.000000000E0	1.686939895E-1	2.239681959E0	9.233902931E0	9.503136129E0
0.000000000E0	-8.135596663E-2	2.143969059E0	9.499505997E0	9.738780021E0
0.000000000E0	-2.117647976E-1	2.053041935E0	9.651450157E0	9.869666441E0
0.000000000E0	-2.679961324E-1	1.969292998E0	9.650253296E0	9.852782628E0
0.000000000E0	-2.739782035E-1	1.866401672E0	9.464810371E0	9.650966512E0
0.000000000E0	-2.536391914E-1	1.858026743E0	9.254241943E0	9.442329700E0
0.000000000E0	-2.464607358E-1	1.905883193E0	9.183652878E0	9.382569681E0
0.000000000E0	-1.483550072E-1	1.940579176E0	9.276973724E0	9.478929171E0
0.000000000E0	3.708875179E-2	1.980060697E0	9.481559753E0	9.686175267E0
0.000000000E0	1.076770201E-1	1.929811478E0	9.579665184E0	9.772704422E0
0.000000000E0	8.733802289E-2	1.872383714E0	9.669396400E0	9.849399751E0
0.000000000E0	-8.733802289E-2	1.794616938E0	9.686145782E0	9.851380513E0
0.000000000E0	-2.919243574E-1	1.734796405E0	9.565308571E0	9.725732181E0
0.000000000E0	-4.259224236E-1	1.691725612E0	9.489934921E0	9.648948661E0
0.000000000E0	-5.754738450E-1	1.720439434E0	9.586843491E0	9.756979559E0
0.000000000E0	-6.017948985E-1	1.725225091E0	9.783055305E0	9.952222356E0
0.000000000E0	-5.886343718E-1	1.769492388E0	9.895518303E0	1.006970090E1
0.000000000E0	-5.874379873E-1	1.883151412E0	9.951749802E0	1.014537662E1
0.000000000E0	-5.371887088E-1	1.946561217E0	9.950552940E0	1.015338250E1
0.000000000E0	-4.486542344E-1	2.009970903E0	9.920642853E0	1.013214826E1
0.000000000E0	-3.780659735E-1	2.100898266E0	9.968499184E0	1.019449280E1
0.000000000E0	-2.404786795E-1	2.161915302E0	1.002473068E1	1.025801799E1
0.000000000E0	-1.938186288E-1	2.213361025E0	9.986445427E0	1.023062192E1
0.000000000E0	-1.531406492E-1	2.219342947E0	9.828518867E0	1.007713840E1
0.000000000E0	-1.639083475E-1	2.212164640E0	9.616754532E0	9.869270797E0
0.000000000E0	-1.615155339E-1	2.275574446E0	9.513862610E0	9.783552938E0
0.000000000E0	-1.519442350E-1	2.333002090E0	9.493523598E0	9.777166057E0
0.000000000E0	-1.483550072E-1	2.347358942E0	9.529416084E0	9.815389657E0
0.000000000E0	-1.136590764E-1	2.318645239E0	9.530612946E0	9.809261810E0
0.000000000E0	-6.101697683E-2	2.299502611E0	9.556933403E0	9.829873417E0
0.000000000E0	2.751746029E-2	2.280359983E0	9.580862045E0	9.848538795E0
0.000000000E0	1.316052526E-1	2.289931297E0	9.589237213E0	9.859745211E0
0.000000000E0	2.440679073E-1	2.317448616E0	9.505488396E0	9.786952890E0
0.000000000E0	3.577269912E-1	2.329412937E0	9.463613510E0	9.752646508E0
0.000000000E0	4.139583111E-1	2.334198475E0	9.468399048E0	9.760656972E0
0.000000000E0	4.031906128E-1	2.347358942E0	9.556933403E0	9.849245288E0
0.000000000E0	4.199403822E-1	2.359323025E0	9.657432556E0	9.950314499E0
0.000000000E0	4.271188378E-1	2.331805706E0	9.716055870E0	1.000107444E1
0.000000000E0	3.780659735E-1	2.362912416E0	9.711270332E0	1.000175287E1
0.000000000E0	3.326023519E-1	2.384447813E0	9.615557671E0	9.912374338E0
0.000000000E0	2.919243574E-1	2.434697151E0	9.492327690E0	9.803940791E0
0.000000000E0	2.751746178E-1	2.478964329E0	9.348757744E0	9.675756124E0
0.000000000E0	2.979064286E-1	2.526820660E0	9.299705505E0	9.641477759E0
0.000000000E0	2.656033039E-1	2.560320139E0	9.329615593E0	9.678197737E0
0.000000000E0	2.165504545E-1	2.579462767E0	9.359525681E0	9.710882721E0
0.000000000E0	2.452643216E-1	2.604587555E0	9.389435768E0	9.747078278E0
0.000000000E0	2.763710022E-1	2.592623234E0	9.382257462E0	9.737804231E0
0.000000000E0	3.002992272E-1	2.633301258E0	9.365508080E0	9.733303485E0
0.000000000E0	3.194418252E-1	2.665604353E0	9.373882294E0	9.750751710E0
0.000000000E0	2.799602449E-1	2.666800737E0	9.341579437E0	9.718812185E0
0.000000000E0	2.727817893E-1	2.646461725E0	9.303294182E0	9.676231302E0
0.000000000E0	2.859423161E-1	2.646461725E0	9.424132347E0	9.792843977E0
0.000000000E0	2.955136001E-1	2.673979282E0	9.470791817E0	9.845475668E0
0.000000000E0	3.110669553E-1	2.705085993E0	9.376275063E0	9.763646190E0
0.000000000E0	3.517449200E-1	2.733799934E0	9.363115311E0	9.760395222E0
0.000000000E0	4.187439680E-1	2.738585472E0	9.379864693E0	9.780442656E0
0.000000000E0	4.163511395E-1	2.737389088E0	9.378668785E0	9.778858597E0
0.000000000E0	4.307080805E-1	2.787638426E0	9.349954605E0	9.766170619E0
0.000000000E0	4.594219327E-1	2.836691141E0	9.372686386E0	9.803322663E0
0.000000000E0	5.168496966E-1	2.847458839E0	9.352347374E0	9.789870114E0
0.000000000E0	5.647061467E-1	2.897708178E0	9.302098274E0	9.759335941E0
0.000000000E0	6.137589812E-1	2.921636343E0	9.162117958E0	9.636237050E0
0.000000000E0	7.046862841E-1	2.976671457E0	9.165707588E0	9.662678268E0
0.000000000E0	7.908278704E-1	2.995813847E0	9.169296265E0	9.678651937E0
0.000000000E0	8.697910309E-1	3.065205812E0	9.146564484E0	9.685642207E0
0.000000000E0	9.655039310E-1	3.152543783E0	9.125029564E0	9.702416951E0
0.000000000E0	1.105484009E0	3.198007345E0	9.147761345E0	9.753506216E0
0.000000000E0	1.190429211E0	3.236292601E0	9.221938133E0	9.845549981E0
0.000000000E0	1.166501045E0	3.304488182E0	9.432506561E0	1.006243245E1
0.000000000E0	1.239482164E0	3.354737282E0	9.683753014E0	1.032306402E1
0.000000000E0	1.354337573E0	3.303291559E0	9.712467194E0	1.034784926E1
0.000000000E0	1.301695466E0	3.311666489E0	9.608379364E0	1.024609682E1
0.000000000E0	1.233500123E0	3.272184849E0	9.286544800E0	9.923136125E0
0.000000000E0	1.088734269E0	3.241078377E0	9.072386742E0	9.695263408E0
0.000000000E0	8.913264275E-1	3.326023579E0	8.971888542E0	9.609978130E0
0.000000000E0	7.992027402E-1	3.341576815E0	9.034101486E0	9.665394472E0
0.000000000E0	7.645068169E-1	3.388236761E0	9.083154678E0	9.724624308E0
0.000000000E0	7.322037220E-1	3.390629768E0	9.043673515E0	9.686099482E0
0.000000000E0	6.197410822E-1	3.421736479E0	8.914461136E0	9.568697763E0
0.000000000E0	5.491527915E-1	3.381058455E0	8.743373871E0	9.390405300E0
0.000000000E0	4.917250574E-1	3.346362352E0	8.657232285E0	9.294493281E0
0.000000000E0	4.031906128E-1	3.394218922E0	8.770891190E0	9.413384993E0
0.000000000E0	3.529413342E-1	3.339184046E0	8.958727837E0	9.567315304E0
0.000000000E0	3.026920557E-1	3.275774240E0	9.116654396E0	9.692043476E0
0.000000000E0	2.333002090E-1	3.324826956E0	9.127422333E0	9.716930674E0
0.000000000E0	2.787638307E-1	3.328416348E0	8.962317467E0	9.564475889E0
0.000000000E0	4.426721931E-1	3.279363394E0	8.740981102E0	9.346386123E0
0.000000000E0	6.245267391E-1	3.187239647E0	8.708678246E0	9.294600960E0
0.000000000E0	6.352944374E-1	3.075973511E0	8.845068932E0	9.386184340E0
0.000000000E0	5.886343718E-1	2.931207657E0	9.194420815E0	9.668290587E0
0.000000000E0	7.082754970E-1	2.780459881E0	9.488738060E0	9.913060138E0
0.000000000E0	8.003991842E-1	2.681157827E0	9.341579437E0	9.751633326E0
0.000000000E0	8.075776696E-1	2.687139750E0	8.983852386E0	9.411827954E0
0.000000000E0	8.973084688E-1	2.874976397E0	8.586644173E0	9.099511521E0
0.000000000E0	8.327022791E-1	2.995813847E0	8.438288689E0	8.992942215E0
0.000000000E0	1.064806104E0	3.012563705E0	8.699107170E0	9.267352247E0
0.000000000E0	1.262213945E0	2.908475876E0	8.644071579E0	9.207192266E0
0.000000000E0	1.331605792E0	2.878565550E0	8.567501068E0	9.135720451E0
0.000000000E0	1.296909928E0	2.939582586E0	8.407182693E0	9.000213441E0
0.000000000E0	1.282552958E0	3.093919754E0	8.383254051E0	9.027526240E0
0.000000000E0	1.211964726E0	3.207578659E0	8.536395073E0	9.199318464E0
0.000000000E0	1.115055323E0	3.180061340E0	8.660821915E0	9.293329583E0
0.000000000E0	1.031306505E0	3.119044304E0	8.372486115E0	8.993917623E0
0.000000000E0	1.050449133E0	3.085544825E0	8.230113029E0	8.852050086E0
0.000000000E0	1.110269666E0	3.098705292E0	8.400003433E0	9.021902842E0
0.000000000E0	1.143769264E0	3.116651535E0	8.739784241E0	9.349093726E0
0.000000000E0	1.154536963E0	3.175275564E0	9.058030128E0	9.667638818E0
0.000000000E0	1.186840057E0	3.233899832E0	9.174081802E0	9.799513986E0
0.000000000E0	1.237089276E0	3.164507866E0	9.144171715E0	9.755018004E0
0.000000000E0	1.295713425E0	2.974278450E0	9.133403778E0	9.692485241E0
0.000000000E0	1.141376376E0	3.320041418E0	9.296115875E0	9.936960572E0
0.000000000E0	9.104689956E-1	3.120240688E0	8.859425545E0	9.436857354E0
0.000000000E0	1.373480201E0	2.738585472E0	8.986245155E0	9.494150844E0
0.000000000E0	7.776673436E-1	3.164507866E0	9.195617676E0	9.755934654E0
0.000000000E0	5.048855543E-1	2.945564747E0	9.517452240E0	9.975628213E0
0.000000000E0	8.410771489E-1	2.657229662E0	9.008976936E0	9.430267530E0
0.000000000E0	5.958128572E-1	2.516052961E0	8.483752251E0	8.869022929E0
0.000000000E0	3.924229145E-1	2.382055044E0	8.395217896E0	8.735437338E0
0.000000000E0	-5.754738450E-1	2.457428932E0	7.915457249E0	8.308103909E0
0.000000000E0	-5.730810165E-1	2.124826431E0	8.668000221E0	8.943016105E0
0.000000000E0	-1.092323542E0	2.321038008E0	9.226723671E0	9.576680941E0
0.000000000E0	-8.530412912E-1	2.251646042E0	1.053200912E1	1.080374035E1
0.000000000E0	-7.334001660E-1	2.243271112E0	1.129412270E1	1.153808253E1
0.000000000E0	-5.288137794E-1	2.219342947E0	1.145085239E1	1.167592171E1
0.000000000E0	-4.857429862E-1	2.243271112E0	1.153579807E1	1.176192368E1
0.000000000E0	-6.281159520E-1	2.273181438E0	1.162074280E1	1.185763664E1
0.000000000E0	-5.826523304E-1	2.318645239E0	1.172363472E1	1.196491582E1
0.000000000E0	-5.264210105E-1	2.396411896E0	1.162911797E1	1.188512910E1
0.000000000E0	-6.005984545E-1	2.490928411E0	1.134437180E1	1.163014249E1
0.000000000E0	-8.099704385E-1	2.484946251E0	1.085145092E1	1.116176496E1
0.000000000E0	-1.106680512E0	2.544766903E0	1.038245773E1	1.074690695E1
0.000000000E0	-7.262216806E-1	2.395215511E0	1.018146038E1	1.048458825E1
0.000000000E0	-1.399801254E0	2.126022816E0	9.479166985E0	9.814989724E0
0.000000000E0	-1.708475351E0	2.529213428E0	9.156135559E0	9.651457246E0
0.000000000E0	-1.268195987E0	2.922832966E0	8.769695282E0	9.330532083E0
0.000000000E0	-8.470591903E-1	2.270788670E0	8.544769287E0	8.881839484E0
0.000000000E0	-1.421336651E0	2.853441000E0	8.251648903E0	8.846017919E0
0.000000000E0	-1.176072359E0	2.626122952E0	8.281558990E0	8.767205214E0
0.000000000E0	-1.021735311E0	2.550748825E0	8.486145973E0	8.919917942E0
0.000000000E0	-1.034895778E0	2.484946251E0	8.628518105E0	9.038655421E0
