"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.383682400E-2,1.579262912E-1,6.011966988E-2,9.677472115E0,9.678947340E0
1.637932400E-2,1.770688742E-1,6.011966988E-2,9.737292290E0,9.739087683E0
1.892182400E-2,1.555334777E-1,6.729813665E-2,9.933504105E0,9.934949597E0
2.144718800E-2,1.746760458E-1,6.490531564E-2,1.000050354E1,1.000223952E1
2.398968800E-2,1.316052526E-1,6.251249462E-2,9.856933594E0,9.858010328E0
2.653640700E-2,1.148554832E-1,1.103689447E-1,9.672686577E0,9.673998072E0
2.907890700E-2,1.579262912E-1,1.079761237E-1,9.744471550E0,9.746349334E0
3.161302200E-2,1.651047617E-1,1.127617657E-1,9.868897438E0,9.870922522E0
3.414843800E-2,1.244267747E-1,1.175474152E-1,9.890433311E0,9.891914400E0
3.668390700E-2,1.124626622E-1,1.558325738E-1,9.842576981E0,9.844452918E0
3.921937600E-2,1.028913707E-1,1.223330572E-1,9.761220932E0,9.762529697E0
4.175484500E-2,1.316052526E-1,1.342971772E-1,9.761220932E0,9.763031791E0
4.429031300E-2,1.483550072E-1,1.630110443E-1,9.895218849E0,9.897673357E0
4.682578200E-2,1.842473447E-1,1.271187067E-1,9.888040543E0,9.890573897E0
4.936119900E-2,1.842473447E-1,1.199402362E-1,9.806684494E0,9.809148460E0
5.190369900E-2,1.674975902E-1,1.534397453E-1,9.868897438E0,9.871511325E0
5.444619900E-2,1.674975902E-1,9.361918271E-2,9.919147491E0,9.921003324E0
5.698869900E-2,1.483550072E-1,6.251249462E-2,9.871291161E0,9.872603821E0
5.953119900E-2,1.172483116E-1,6.729813665E-2,9.804291725E0,9.805223732E0
6.207369900E-2,1.603191197E-1,9.601201117E-2,9.770792007E0,9.772578830E0
6.461619900E-2,1.818545163E-1,8.644071966E-2,9.699007034E0,9.701096872E0
6.715869900E-2,1.627119333E-1,5.772684515E-2,9.787542343E0,9.789064954E0
6.970119900E-2,1.411765367E-1,1.007976532E-1,9.902397156E0,9.903916418E0
7.224369900E-2,1.435693651E-1,8.883354068E-2,9.878469467E0,9.879912073E0
7.478619900E-2,1.483550072E-1,9.601201117E-2,9.804291725E0,9.805884139E0
7.732869900E-2,1.579262912E-1,1.175474152E-1,9.809077263E0,9.811052689E0
7.987119900E-2,1.387837082E-1,1.223330572E-1,9.804291725E0,9.806037045E0
8.241369900E-2,1.004985496E-1,6.969095767E-2,9.763613701E0,9.764379616E0
8.495619900E-2,1.363908947E-1,4.815555736E-2,9.801898956E0,9.802966112E0
8.749869900E-2,1.941177398E-1,1.127617657E-1,9.801898956E0,9.804469392E0
9.004119900E-2,1.818545163E-1,8.165507019E-2,9.864111900E0,9.866125997E0
9.258369900E-2,2.060818523E-1,5.533402413E-2,1.004387283E1,1.004613921E1
9.512619900E-2,1.507478207E-1,9.122636169E-2,9.940682411E0,9.942243909E0
9.766869900E-2,9.092725813E-2,4.576273263E-2,9.751649857E0,9.752181136E0
1.002111990E-1,9.571290761E-2,5.084747914E-3,9.617651939E0,9.618129529E0
1.027536990E-1,1.316052526E-1,6.490531564E-2,9.804291725E0,9.805389787E0
1.052961990E-1,1.555334777E-1,6.011966988E-2,9.971789360E0,9.973183448E0
1.078386990E-1,1.435693651E-1,7.208377868E-2,1.008933640E1,1.009061530E1
1.103811990E-1,1.244267747E-1,6.729813665E-2,9.943075180E0,9.944081410E0
1.129236990E-1,1.965105534E-1,4.336991161E-2,9.687043190E0,9.689133249E0
1.154661990E-1,1.387837082E-1,5.533402413E-2,9.648757935E0,9.649914634E0
1.180086990E-1,2.036890239E-1,1.007976532E-1,9.852148056E0,9.854768932E0
1.205511990E-1,2.324029058E-1,4.336991161E-2,1.003669453E1,1.003947853E1
1.230936990E-1,2.012962103E-1,4.336991161E-2,9.873683929E0,9.875830874E0
1.256361990E-1,1.698904037E-1,7.447660714E-2,9.732506752E0,9.734274354E0
