"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.226174100E-2,6.410217285E-2,-1.176452637E-2,-8.815002441E-2,1.096262717E-1
4.723610600E-2,6.675720215E-2,-2.700805664E-3,-7.589721680E-2,1.011148155E-1
5.224098900E-2,7.582092285E-2,-1.632690430E-3,-5.033874512E-2,9.102454219E-2
5.724587200E-2,9.072875977E-2,2.624511719E-3,-2.264404297E-2,9.354864292E-2
6.225075400E-2,1.024475098E-1,7.415771484E-3,-6.668090820E-3,1.029317704E-1
6.725563700E-2,1.130981445E-1,1.167297363E-2,6.118774414E-3,1.138634621E-1
7.223000200E-2,1.152343750E-1,1.113891602E-2,1.997375488E-2,1.174818604E-1
7.723488500E-2,1.120300293E-1,1.060485840E-2,3.488159180E-2,1.178130550E-1
8.220925000E-2,1.029815674E-1,1.220703125E-2,4.766845703E-2,1.141336788E-1
8.721413300E-2,8.966064453E-2,7.949829102E-3,4.978942871E-2,1.028650483E-1
9.221901600E-2,7.261657715E-2,3.692626953E-3,4.499816895E-2,8.550811645E-2
9.722389900E-2,5.398559570E-2,-4.577636719E-5,3.434753418E-2,6.398593395E-2
1.021982640E-1,3.427124023E-2,-3.768920898E-3,1.943969727E-2,3.958060765E-2
1.072031470E-1,1.562500000E-2,-6.439208984E-3,-1.861572266E-3,1.700204366E-2
1.122080300E-1,-3.509521484E-4,-5.905151367E-3,-1.997375488E-2,2.083134331E-2
1.171823950E-1,-1.100158691E-2,-8.026123047E-3,-2.743530273E-2,3.062922464E-2
1.221872780E-1,-2.218627930E-2,-1.176452637E-2,-3.169250488E-2,4.043575071E-2
1.271921610E-1,-3.390502930E-2,-1.388549805E-2,-3.808593750E-2,5.284786375E-2
1.321970430E-1,-4.669189453E-2,-1.281738281E-2,-4.341125488E-2,6.503041879E-2
1.372019260E-1,-4.829406738E-2,-1.016235352E-2,-5.087280273E-2,7.087758765E-2
1.422068090E-1,-4.295349121E-2,-6.439208984E-3,-5.833435059E-2,7.272800202E-2
1.471811740E-1,-4.029846191E-2,-4.837036133E-3,-6.524658203E-2,7.684061047E-2
1.521555400E-1,-3.604125977E-2,-4.837036133E-3,-6.419372559E-2,7.377807078E-2
1.571604220E-1,-3.550720215E-2,-5.905151367E-3,-5.885314941E-2,6.898786424E-2
1.621653050E-1,-3.762817383E-2,-7.492065430E-3,-5.033874512E-2,6.329296778E-2
1.671701880E-1,-3.123474121E-2,-1.069641113E-2,-3.701782227E-2,4.960182895E-2
1.721750710E-1,-1.472473145E-2,-9.628295898E-3,-2.529907227E-2,3.081501023E-2
1.771799540E-1,3.372192383E-3,-8.026123047E-3,-1.145935059E-2,1.439121428E-2
1.821543190E-1,1.776123047E-2,-4.837036133E-3,-2.395629883E-3,1.856333130E-2
1.871286840E-1,3.001403809E-2,-1.113891602E-3,3.463745117E-3,3.023376865E-2
1.921335670E-1,4.331970215E-2,3.692626953E-3,7.186889648E-3,4.406680691E-2
1.971384500E-1,5.291748047E-2,7.415771484E-3,6.118774414E-3,5.378375969E-2
2.021433320E-1,6.196594238E-2,9.017944336E-3,5.050659180E-3,6.282205420E-2
2.071176980E-1,6.517028809E-2,6.881713867E-3,3.463745117E-3,6.562409592E-2
2.121225810E-1,6.782531738E-2,4.745483398E-3,7.934570312E-4,6.799575623E-2
2.170969460E-1,6.622314453E-2,4.226684570E-3,-7.202148438E-3,6.674758929E-2
2.221018290E-1,6.729125977E-2,4.226684570E-3,-1.571655273E-2,6.923141291E-2
2.271067110E-1,6.570434570E-2,5.279541016E-3,-1.890563965E-2,6.857373993E-2
2.321115940E-1,6.196594238E-2,6.347656250E-3,-2.529907227E-2,6.723179168E-2
2.370859590E-1,4.759216309E-2,1.022338867E-3,-3.010559082E-2,5.632411351E-2
2.420908420E-1,3.213500977E-2,1.022338867E-3,-3.382873535E-2,4.666998355E-2
2.470957250E-1,1.350402832E-2,-5.798339844E-4,-4.129028320E-2,4.344631717E-2
2.520700900E-1,-4.608154297E-3,-2.700805664E-3,-4.820251465E-2,4.849754484E-2
2.570749730E-1,-1.419067383E-2,-4.837036133E-3,-5.087280273E-2,5.303597082E-2
2.620798560E-1,-2.005004883E-2,-8.560180664E-3,-5.673217773E-2,6.077681418E-2
2.670847390E-1,-2.644348145E-2,-9.628295898E-3,-6.152343750E-2,6.765423235E-2
2.720591040E-1,-3.497314453E-2,-3.768920898E-3,-6.419372559E-2,7.319945360E-2
2.770639870E-1,-3.709411621E-2,-2.700805664E-3,-6.631469727E-2,7.603227527E-2
2.820688700E-1,-3.869628906E-2,-4.302978516E-3,-6.578063965E-2,7.643959029E-2
2.870737520E-1,-4.136657715E-2,-3.234863281E-3,-6.524658203E-2,7.732253560E-2
2.920786350E-1,-3.709411621E-2,-5.798339844E-4,-6.684875488E-2,7.645302933E-2
2.970530000E-1,-2.964782715E-2,-4.577636719E-5,-6.791687012E-2,7.410598489E-2
3.020578830E-1,-2.644348145E-2,1.022338867E-3,-6.578063965E-2,7.090412851E-2
3.070322490E-1,-2.218627930E-2,-4.577636719E-5,-6.045532227E-2,6.439781887E-2
3.120371310E-1,-1.846313477E-2,1.556396484E-3,-5.566406250E-2,5.866683534E-2
3.170420140E-1,-1.579284668E-2,4.882812500E-4,-5.513000488E-2,5.734954109E-2
3.220468970E-1,-1.472473145E-2,1.022338867E-3,-5.619812012E-2,5.810414441E-2
3.270212620E-1,-1.419067383E-2,4.226684570E-3,-5.619812012E-2,5.811599428E-2
3.320261450E-1,-1.367187500E-2,1.556396484E-3,-5.566406250E-2,5.733960577E-2
3.370310280E-1,-1.313781738E-2,-4.577636719E-5,-5.352783203E-2,5.511654146E-2
3.420359110E-1,-9.399414062E-3,-1.632690430E-3,-4.714965820E-2,4.810514454E-2
3.470102760E-1,-6.744384766E-3,4.882812500E-4,-4.022216797E-2,4.078661472E-2
3.520151590E-1,-7.278442383E-3,3.158569336E-3,-3.382873535E-2,3.474673538E-2
3.570200410E-1,-9.399414062E-3,-4.577636719E-5,-2.690124512E-2,2.849610621E-2
3.620249240E-1,-1.100158691E-2,1.022338867E-3,-2.104187012E-2,2.376637098E-2
3.670298070E-1,-1.632690430E-2,-4.577636719E-5,-1.625061035E-2,2.303589018E-2
3.720041720E-1,-1.899719238E-2,-1.113891602E-3,-8.255004883E-3,2.074317185E-2
3.770090550E-1,-1.739501953E-2,4.882812500E-4,-6.668090820E-3,1.863567971E-2
3.820139380E-1,-2.058410645E-2,-4.577636719E-5,-2.929687500E-3,2.079159932E-2
3.869883030E-1,-2.485656738E-2,-4.577636719E-5,-4.531860352E-3,2.526635699E-2
3.919931860E-1,-2.857971191E-2,1.022338867E-3,-5.065917969E-3,2.904322012E-2
3.969980690E-1,-3.443908691E-2,-1.113891602E-3,-6.668090820E-3,3.509636587E-2
4.019724340E-1,-3.976440430E-2,-1.632690430E-3,-1.145935059E-2,4.141485534E-2
4.069773170E-1,-3.869628906E-2,-4.302978516E-3,-1.464843750E-2,4.159922034E-2
4.119516820E-1,-4.083251953E-2,-1.123046875E-2,-1.731872559E-2,4.575321120E-2
4.169565650E-1,-4.402160645E-2,-1.388549805E-2,-1.838684082E-2,4.968686753E-2
4.219614480E-1,-4.295349121E-2,-1.281738281E-2,-2.157592773E-2,4.974744583E-2
4.269663310E-1,-4.136657715E-2,-1.655578613E-2,-2.583312988E-2,5.150377034E-2
4.319406960E-1,-3.497314453E-2,-1.708984375E-2,-2.957153320E-2,4.888414031E-2
4.369455790E-1,-2.325439453E-2,-1.548767090E-2,-3.436279297E-2,4.428810625E-2
4.419504610E-1,-9.399414062E-3,-1.069641113E-2,-3.594970703E-2,3.866708719E-2
4.469553440E-1,8.178710938E-3,-6.958007812E-3,-3.755187988E-2,3.905699512E-2
4.519297090E-1,2.415466309E-2,-5.798339844E-4,-3.594970703E-2,4.331472489E-2
4.569345920E-1,3.852844238E-2,5.279541016E-3,-3.276062012E-2,5.084852659E-2
4.619394750E-1,4.438781738E-2,5.813598633E-3,-3.010559082E-2,5.394833510E-2
4.669138400E-1,4.438781738E-2,8.483886719E-3,-2.529907227E-2,5.179090387E-2
4.719187230E-1,4.013061523E-2,7.415771484E-3,-2.210998535E-2,4.641456019E-2
4.769236060E-1,3.427124023E-2,2.624511719E-3,-1.890563965E-2,3.922791327E-2
4.819284890E-1,2.575683594E-2,1.556396484E-3,-1.785278320E-2,3.137768053E-2
4.869028540E-1,1.829528809E-2,-2.166748047E-3,-1.943969727E-2,2.678272191E-2
4.919077370E-1,9.765625000E-3,-5.371093750E-3,-2.104187012E-2,2.381126577E-2
4.969126200E-1,4.974365234E-3,-8.026123047E-3,-2.583312988E-2,2.750479159E-2
5.019175020E-1,3.906250000E-3,-9.628295898E-3,-2.743530273E-2,2.933698531E-2
5.068918680E-1,4.440307617E-3,-6.439208984E-3,-3.169250488E-2,3.264344666E-2
5.118967500E-1,9.765625000E-3,-5.371093750E-3,-3.543090820E-2,3.714250040E-2
5.169016330E-1,1.669311523E-2,-4.302978516E-3,-3.861999512E-2,4.229278595E-2
5.219065160E-1,1.936340332E-2,-3.234863281E-3,-4.022216797E-2,4.475744100E-2
5.268808810E-1,2.575683594E-2,-2.700805664E-3,-4.447937012E-2,5.146963488E-2
5.318857640E-1,3.320312500E-2,4.882812500E-4,-4.820251465E-2,5.853348056E-2
5.368601290E-1,3.852844238E-2,2.090454102E-3,-5.619812012E-2,6.816919814E-2
5.418650120E-1,4.066467285E-2,3.692626953E-3,-5.885314941E-2,7.163061013E-2
5.468698950E-1,4.066467285E-2,-4.577636719E-5,-5.938720703E-2,7.197539908E-2
5.518747780E-1,3.746032715E-2,-4.837036133E-3,-5.833435059E-2,6.949510405E-2
5.568491430E-1,3.001403809E-2,-8.560180664E-3,-5.513000488E-2,6.335168990E-2
5.618540260E-1,2.362060547E-2,-9.094238281E-3,-5.087280273E-2,5.682147684E-2
5.668589090E-1,1.776123047E-2,-8.560180664E-3,-4.766845703E-2,5.158507339E-2
5.718637910E-1,9.765625000E-3,-9.628295898E-3,-4.554748535E-2,4.756726748E-2
5.768381570E-1,3.906250000E-3,-8.560180664E-3,-4.341125488E-2,4.441928109E-2
5.818430400E-1,-3.509521484E-4,-8.026123047E-3,-3.808593750E-2,3.892403440E-2
5.868479220E-1,-3.540039062E-3,-5.905151367E-3,-3.489685059E-2,3.556954976E-2
5.918528050E-1,-7.278442383E-3,-3.234863281E-3,-3.382873535E-2,3.475375375E-2
5.968271700E-1,-7.278442383E-3,-3.768920898E-3,-3.594970703E-2,3.687223785E-2
6.018015360E-1,-6.744384766E-3,-1.113891602E-3,-3.701782227E-2,3.764368002E-2
6.068064180E-1,-4.608154297E-3,-1.632690430E-3,-4.022216797E-2,4.051818802E-2
6.118113010E-1,1.251220703E-3,-1.632690430E-3,-4.180908203E-2,4.185965327E-2
6.168161840E-1,4.440307617E-3,-1.632690430E-3,-4.180908203E-2,4.207589987E-2
6.218210670E-1,6.576538086E-3,4.882812500E-4,-4.287719727E-2,4.338137062E-2
6.268259500E-1,9.231567383E-3,4.745483398E-3,-4.661560059E-2,4.775725774E-2
6.318308320E-1,7.644653320E-3,5.813598633E-3,-5.140686035E-2,5.229630909E-2
6.368051980E-1,6.042480469E-3,7.949829102E-3,-5.459594727E-2,5.550161088E-2
6.417795630E-1,6.042480469E-3,6.881713867E-3,-5.726623535E-2,5.799388991E-2
6.467844460E-1,1.785278320E-3,3.692626953E-3,-5.992126465E-2,6.006147409E-2
6.517893290E-1,-5.142211914E-3,4.882812500E-4,-6.152343750E-2,6.173989086E-2
6.567942110E-1,-1.419067383E-2,-1.632690430E-3,-6.098937988E-2,6.263980651E-2
6.617990940E-1,-2.378845215E-2,-2.166748047E-3,-6.312561035E-2,6.749391035E-2
6.667734590E-1,-3.443908691E-2,-1.632690430E-3,-6.419372559E-2,7.286666446E-2
6.717783420E-1,-3.923034668E-2,-4.837036133E-3,-6.152343750E-2,7.312694702E-2
6.767832250E-1,-3.976440430E-2,-6.439208984E-3,-5.938720703E-2,7.176009769E-2
6.817575900E-1,-3.816223145E-2,-8.560180664E-3,-5.513000488E-2,6.759400891E-2
6.867624730E-1,-3.816223145E-2,-6.439208984E-3,-5.087280273E-2,6.392074295E-2
6.917673560E-1,-3.657531738E-2,-5.905151367E-3,-4.980468750E-2,6.207359786E-2
6.967417210E-1,-3.709411621E-2,-6.439208984E-3,-5.247497559E-2,6.458374356E-2
7.017466040E-1,-3.604125977E-2,-7.492065430E-3,-5.459594727E-2,6.584695063E-2
7.067209690E-1,-2.911376953E-2,-1.016235352E-2,-5.619812012E-2,6.410236899E-2
7.117258520E-1,-2.005004883E-2,-1.335144043E-2,-5.566406250E-2,6.065272684E-2
7.167307350E-1,-8.865356445E-3,-8.026123047E-3,-5.566406250E-2,5.693418174E-2
7.217051000E-1,2.319335938E-3,-5.905151367E-3,-5.726623535E-2,5.761659347E-2
