t (s);T (K)
0,30;286,99
0,50;286,85
0,60;285,83
0,70;287,06
0,80;286,73
1,10;287,07
1,50;286,42
1,70;287,52
1,90;286,76
2,60;287,01
2,70;287,85
2,80;287,14
3,00;287,41
3,10;287,96
3,20;287,54
3,40;287,85
3,50;288,35
3,70;287,57
3,80;288,09
3,90;287,65
4,00;288,54
4,20;287,62
4,50;288,75
4,70;289,12
5,00;289,07
5,40;288,39
5,50;289,27
6,00;289,03
6,10;288,89
6,20;289,18
6,50;289,01
6,60;289,93
6,70;289,81
6,80;289,9
6,90;289,3
7,10;289,12
7,20;289,91
7,40;289,76
7,50;289,88
7,60;289,83
7,80;290,46
8,10;289,94
8,20;290,42
8,40;290,78
8,50;290,05
8,60;289,99
8,70;290,29
9,00;290,61
9,20;290,73
9,40;291,59
9,70;291,74
