Tempo (s);Posição (m);Velocidade (ms-1);Aceleração (ms-2)
0,02;-0,9638;-0,0371;0,22309
0,06;-0,96551;-0,02902;0,24967
0,1;-0,966492679;-0,01807;0,27976
0,14;-0,966982748;-0,0063;0,30553
0,18;-0,966982748;0,0063;0,34273
0,22;-0,966492679;0,01974;0,42617
0,26;-0,965512421;0,03727;0,60247
0,3;-0,963797059;0,06416;0,88456
0,34;-0,960856404;0,10551;1,23094
0,38;-0,955955353;0,16388;1,54128
0,42;-0,948113587;0,23348;1,72717
0,46;-0,937331226;0,30615;1,79583
0,5;-0,92360821;0,37898;1,80399
0,54;-0,906944539;0,45046;1,80304
0,58;-0,887585308;0,52227;1,81841
0,62;-0,865285363;0,59647;1,82207
0,66;-0,839799788;0,6693;1,80009
0,7;-0,811618593;0,73959;1,79619
0,74;-0,780741777;0,81208;1,81131
0,78;-0,746679273;0,88509;1,81509
0,82;-0,709921207;0,95792;1,80623
0,86;-0,669977393;1,0294;1,79997
0,9;-0,627583113;1,10104;1,81132
0,94;-0,582003083;1,1749;1,8112
0,98;-0,533482399;1,24654;1,79725
1,02;-0,482266124;1,31802;1,77964
1,06;-0,428109195;1,39068;1,6591
1,1;-0,371011641;1,46045;1,17682
1,14;-0,310973432;1,5098;-0,03983
1,18;-0,248239618;1,49228;-2,12153
1,22;-0,186731081;1,34627;-4,32283
1,26;-0,137230191;1,10751;-5,56973
1,3;-0,098756727;0,86637;-5,84792
1,34;-0,068124991;0,6288;-5,61665
1,38;-0,048275622;0,39889;-4,79909
1,42;-0,037983356;0,22174;-3,38095
1,46;-0,033327333;0,12287;-1,81202
1,5;-0,030386685;0,09087;-0,61334
1,54;-0,027200984;0,09581;-0,03025
1,58;-0,022790014;0,10653;0,02434
1,62;-0,018133989;0,10483;-0,15789
1,66;-0,013968073;0,09138;-0,31104
1,7;-0,010782372;0,07522;-0,35004
1,74;-0,008086778;0,0616;-0,32913
1,78;-0,005881294;0,04918;-0,30372
1,82;-0,00417;0,03744;-0,28103
1,86;-0,00294;0,02706;-0,26696
1,9;-0,00196;0,016;-0,24995
1,94;-0,00172;0,00647;-0,22028
1,98;-0,00147;-0,0017;-0,20457
2,02;-0,00196;-0,008;-0,26945
2,06;-0,00221;-0,01532;-0,55331
2,1;-0,00245;-0,04339;-1,06703
2,14;-0,00466;-0,09989;-1,61786
2,18;-0,0098;-0,17715;-2,06634
2,22;-0,01838;-0,26956;-2,38731
2,26;-0,03112;-0,37115;-2,59401
2,3;-0,04779;-0,48058;-2,66019
2,34;-0,06935;-0,59306;-2,45952
2,38;-0,09582;-0,68836;-1,96093
2,42;-0,12547;-0,75422;-1,33328
2,46;-0,15708;-0,792;-0,77206
2,5;-0,18943;-0,81021;-0,37061
2,54;-0,22226;-0,81634;-0,1255
2,58;-0,25486;-0,81702;0,01678
2,62;-0,28769;-0,81463;0,12822
2,66;-0,32029;-0,80579;0,20657
2,7;-0,35214;-0,79643;0,24262
2,74;-0,384;-0,78638;0,2724
2,78;-0,41512;-0,77464;0,29523
2,82;-0,446;-0,76222;0,29912
2,86;-0,47614;-0,74912;0,26074
2,9;-0,50579;-0,74006;0,19319
2,94;-0,5352;-0,7344;0,13871
2,98;-0,56436;-0,73108;0,10398
