"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
6.206480000E-2	0.000000000E0	0.000000000E0	0.000000000E0	0.000000000E0
6.678480000E-2	-5.951651931E-2	1.555242389E-2	-5.168571472E-1	5.205049516E-1
7.150480000E-2	5.480349064E-3	-8.935578167E-2	9.395418167E-1	9.437972851E-1
7.622485200E-2	1.549332589E-1	2.853795886E-3	8.266544342E-1	8.410529189E-1
8.094485200E-2	1.742845923E-1	-2.416970953E-2	-6.729078293E-1	6.955316245E-1
8.566490400E-2	9.249109775E-2	-3.838420659E-2	4.103450775E-1	4.223873023E-1
9.038490400E-2	5.155258998E-2	-1.291570440E-2	1.445865631E-1	1.540446662E-1
9.510490400E-2	4.370537028E-2	-2.919994295E-3	-2.650060654E-1	2.686017506E-1
9.982495600E-2	1.727881655E-2	5.968444049E-3	1.706838608E-1	1.716600133E-1
1.045449560E-1	5.155126750E-2	-9.519800544E-3	-4.666900635E-2	7.018657947E-2
1.092650080E-1	4.432994127E-2	-1.719578356E-2	9.776115417E-3	4.854287896E-2
1.139850080E-1	6.256908178E-2	-9.201776236E-3	8.353805542E-2	1.047767598E-1
1.187050080E-1	4.712735489E-2	-8.591733873E-3	-4.657459259E-2	6.681315847E-2
1.234250600E-1	4.190413654E-2	-1.410800964E-3	1.452445984E-2	4.437236699E-2
1.281450600E-1	1.023406908E-2	-1.252964139E-2	-6.543159485E-3	1.745110367E-2
1.328651120E-1	3.189375252E-2	-4.957661033E-3	2.838134766E-3	3.240130956E-2
1.375851120E-1	1.631841063E-2	-2.381034195E-3	2.744293213E-2	3.201678268E-2
1.423051120E-1	3.114987351E-2	-4.528958350E-3	3.318786621E-3	3.165186295E-2
1.470251650E-1	2.961611934E-2	-6.550878286E-3	-1.045608521E-2	3.208361340E-2
1.517451650E-1	3.286798298E-2	5.122419447E-3	-1.220512390E-2	3.543315588E-2
1.564651650E-1	4.057814926E-2	2.606119961E-3	-9.344100952E-3	4.172158052E-2
1.611852170E-1	4.498630762E-3	-6.615035236E-3	1.163768768E-2	1.412204463E-2
1.659052170E-1	1.800758578E-2	1.204330847E-2	1.342010498E-2	2.548359555E-2
1.706252690E-1	1.040368527E-2	1.386817545E-2	1.286125183E-2	2.158644844E-2
1.753452690E-1	8.519776165E-4	1.834463328E-3	7.752418518E-3	8.011935749E-3
1.800653210E-1	5.555052310E-3	6.372056901E-3	5.521774292E-4	8.471517883E-3
1.847853210E-1	3.125295043E-3	-7.655423135E-3	-8.685112000E-3	1.199183651E-2
1.895053210E-1	7.627308369E-3	-1.429739594E-2	8.544921875E-4	1.622718462E-2
1.942253730E-1	-1.850832254E-3	-2.246107906E-3	2.854919434E-2	2.869716150E-2
1.989453730E-1	1.440092921E-2	2.434130758E-3	4.466056824E-3	1.527276721E-2
2.036653730E-1	7.042657584E-3	-9.216070175E-3	4.322052002E-3	1.237800908E-2
2.083854250E-1	1.151217334E-2	-1.994490623E-3	6.505966187E-3	1.337294746E-2
2.131054250E-1	2.049812675E-2	2.359614149E-2	-7.614135742E-3	3.217026820E-2
2.178254770E-1	2.453903109E-2	1.126930490E-2	-1.203536987E-2	2.956368393E-2
2.225454770E-1	1.453898661E-2	6.305173039E-3	1.155376434E-2	1.961190478E-2
2.272655290E-1	1.413402148E-2	1.544221863E-2	8.906364441E-3	2.274985729E-2
2.319855290E-1	2.541895770E-2	2.201597393E-2	1.564979553E-2	3.709100455E-2
2.367055290E-1	2.477609552E-2	1.442614943E-2	5.918502808E-3	2.927451746E-2
2.414255810E-1	1.950437017E-2	2.805194259E-2	-2.221107483E-2	4.075124272E-2
2.461455810E-1	9.711127728E-3	2.038590610E-2	-6.589889526E-4	2.259038370E-2
2.508656330E-1	1.414179616E-2	1.992275566E-2	-6.427764893E-4	2.444012588E-2
2.555856330E-1	2.779157087E-2	3.580614552E-2	1.708030701E-3	4.535822789E-2
2.603056330E-1	1.078392379E-2	6.906602532E-3	1.335430145E-2	1.850220360E-2
2.650256850E-1	1.989134029E-2	3.016826883E-2	2.240562439E-2	4.251825334E-2
